Product Name,Quantity,Unit_price,Payment_method,discount %,Final_price
Mix - Cocktail Ice Cream,15,94.51,Cash,10.0 %,85.05900192260742
Bread Base - Gold Formel,6,83.09,Visa,14.5 %,71.04194686889649
Salmon - Whole 4 - 6 Pounds,9,188.02,Cash,5.0 %,178.6190040588379
Lettuce - Radicchio,12,227.89,Cash,7.0 %,211.93769943237305
Wood Chips - Regular,17,191.65,Visa,10.0 %,172.48499450683593
Pails With Lids,1,88.1,Visa,0.0 %,88.0999984741211
Strawberries,2,148.88,Visa,1.0 %,147.39120483398438
Bread - Pita,2,130.58,Cash,21.0 %,103.15820144653321
Hand Towel,12,219.89,Cash,9.0 %,200.09989944458007
Ice Cream - Chocolate,6,175.97,Visa,5.0 %,167.17150115966797
Lid - 16 Oz And 32 Oz,10,105.73,Cash,18.0 %,86.69860275268555
Mayonnaise,12,100.57,Cash,16.0 %,84.47879974365235
Tarts Assorted,3,172.63,Visa,0.0 %,172.6300048828125
Butter - Salted,14,105.08,Cash,7.0 %,97.72440170288085
Amaretto,13,6.89,Cash,7.0 %,6.407699875831604
Bread - White Mini Epi,17,21.35,Cash,10.0 %,19.215000343322753
Lamb - Bones,16,111.07,Visa,10.0 %,99.9629997253418
Bagelers - Cinn / Brown Sugar,12,210.78,Cash,7.0 %,196.02539886474608
Soup - Campbells Beef Barley,17,206.53,Visa,8.0 %,190.00759887695312
Pasta - Fettuccine Egg Fresh,6,166.99,Cash,5.0 %,158.64050521850587
Nut - Almond Blanched Whole,9,53.84,Cash,5.0 %,51.148000144958495
Wine - White Schroder And Schyl,13,165.67,Cash,15.5 %,139.99114845275878
Soup - Knorr Chicken Gumbo,3,236.76,Cash,21.0 %,187.0403956604004
Wine - Red Colio Cabernet,14,150.82,Visa,18.0 %,123.67240600585937
Thyme - Lemon Fresh,14,88.35,Cash,5.0 %,83.93249855041503
Honey - Lavender,1,11.79,Visa,0.0 %,11.789999961853027
Cake - Bande Of Fruit,11,43.91,Visa,16.0 %,36.88439987182617
Veal - Insides Provini,11,40.81,Visa,9.5 %,36.93305124282837
Cheese - Taleggio D.o.p.,10,194.85,Visa,17.5 %,160.7512550354004
Table Cloth 54x54 Colour,15,186.31,Cash,10.0 %,167.6789978027344
Nut - Walnut Chopped,14,180.3,Visa,7.0 %,167.67900283813475
Turkey - Whole Fresh,17,138.43,Cash,10.0 %,124.58699340820313
Ocean Spray - Ruby Red,5,148.87,Cash,0.0 %,148.8699951171875
Nantucket - Orange Mango Cktl,6,161.12,Cash,5.0 %,153.06399536132812
Flower - Carnations,6,229.61,Cash,5.0 %,218.12950057983397
Tequila - Sauza Silver,3,24.27,Cash,0.0 %,24.270000457763672
Soup - Base Broth Beef,14,55.81,Visa,7.0 %,51.903301277160644
Mikes Hard Lemonade,5,62.32,Cash,10.0 %,56.087999725341795
Pasta - Lasagna Dry,12,8.24,Visa,7.0 %,7.6631997871398925
Ginsing - Fresh,9,92.93,Visa,5.0 %,88.28350028991699
Capon - Breast Wing On,9,171.96,Visa,5.0 %,163.36200637817382
Chocolate - Semi Sweet Calets,15,197.52,Cash,10.0 %,177.76800384521485
Tray - 16in Rnd Blk,12,7.88,Visa,7.0 %,7.3284001064300535
Coffee - Frthy Coffee Crisp,16,22.75,Visa,8.5 %,20.81625
Schnappes Peppermint - Walker,6,19.59,Visa,9.5 %,17.728950138092042
Wine - White Lindemans Bin 95,9,182.21,Cash,5.0 %,173.09950637817383
Coffee Cup 12oz 5342cd,10,130.1,Visa,7.0 %,120.99300567626953
Paper - Brown Paper Mini Cups,6,5.63,Cash,5.0 %,5.348500108718872
Coffee - Frthy Coffee Crisp,15,177.35,Cash,10.0 %,159.61500549316406
Tea - Orange Pekoe,1,71.36,Visa,13.0 %,62.08320053100586
Muffin Mix - Raisin Bran,11,171.22,Visa,7.0 %,159.2346011352539
Jack Daniels,17,210.22,Cash,30.0 %,147.15400085449218
Beef - Ground Medium,14,174.09,Visa,7.0 %,161.90369659423828
Onion Powder,15,136.9,Cash,16.0 %,114.99599487304687
Tomatoes - Grape,13,164.11,Visa,7.0 %,152.62230056762695
Wine - Chenin Blanc K.w.v.,11,184.55,Visa,6.0 %,173.47700286865233
Quail - Eggs Fresh,13,222.23,Cash,6.5 %,207.78504600524903
Bread - Pumpernickel,11,182.41,Cash,5.5 %,172.37745346069335
Apples - Spartan,6,127.75,Visa,5.0 %,121.3625
Snails - Large Canned,8,158.15,Visa,5.0 %,150.24249420166015
Eggplant - Baby,3,241.88,Visa,0.0 %,241.8800048828125
Wine - Rioja Campo Viejo,15,165.9,Visa,7.5 %,153.45749435424804
Wine - Rosso Toscano Igt,1,188.66,Visa,15.0 %,160.36100311279296
Wine - Blue Nun Qualitatswein,7,228.35,Cash,16.5 %,190.67225509643555
Ecolab Crystal Fusion,5,90.56,Visa,0.0 %,90.55999755859375
Ecolab Crystal Fusion,9,92.27,Cash,5.0 %,87.65649681091308
Sauce - White Mix,13,194.21,Visa,7.0 %,180.6153062438965
Lobak,15,91.02,Visa,10.0 %,81.91799697875976
Pasta - Shells Medium Dry,3,212.35,Visa,28.0 %,152.89200439453123
Tomatoes Tear Drop Yellow,13,45.47,Visa,6.5 %,42.51445114135742
Melon - Honey Dew,12,167.18,Cash,7.0 %,155.47739318847655
Dried Cranberries,16,166.28,Visa,30.0 %,116.39599914550782
Bagels Poppyseed,8,80.83,Visa,5.0 %,76.78850173950195
Mushroom - Crimini,15,217.8,Visa,10.0 %,196.02000274658204
Spice - Peppercorn Melange,7,234.14,Visa,5.0 %,222.43299942016603
Fruit Salad Deluxe,4,148.25,Visa,0.0 %,148.25
Mountain Dew,13,62.12,Cash,12.0 %,54.6655990600586
Pur Value,4,9.19,Visa,6.0 %,8.638599605560303
Remy Red Berry Infusion,7,38.18,Visa,5.0 %,36.27100028991699
Chestnuts - Wholecanned,9,38.44,Visa,5.0 %,36.517998695373535
Pork - Sausage Medium,6,233.63,Cash,9.0 %,212.60330444335938
Apple - Royal Gala,10,235.0,Cash,7.0 %,218.55
Oil - Cooking Spray,14,83.2,Visa,7.0 %,77.37599716186523
Tuna - Bluefin,5,9.57,Cash,24.0 %,7.273199768066407
Pepper - Green Thai,1,64.88,Cash,0.0 %,64.87999725341797
Mustard - Individual Pkg,14,161.8,Cash,7.0 %,150.47400283813477
Pepper - Julienne Frozen,10,135.67,Visa,7.0 %,126.17309829711914
Hummus - Spread,17,135.48,Cash,16.0 %,113.80319641113282
Absolut Citron,9,62.42,Visa,5.0 %,59.298998260498045
Salad Dressing,6,150.28,Cash,10.5 %,134.5005989074707
Yogurt - Assorted Pack,11,64.81,Visa,7.0 %,60.273297729492185
Soap - Hand Soap,6,83.29,Cash,5.0 %,79.12550086975098
Barley - Pearl,2,123.76,Visa,0.0 %,123.76000213623047
Appetizer - Sausage Rolls,8,75.13,Cash,5.0 %,71.37349739074708
Lemons,17,247.42,Visa,12.5 %,216.49249839782715
Cake - Miini Cheesecake Cherry,12,127.02,Cash,8.5 %,116.22329692840576
Table Cloth 72x144 White,17,229.19,Visa,10.0 %,206.27100219726563
Sword Pick Asst,1,204.31,Visa,1.0 %,202.26689758300782
Cake - Sheet Strawberry,4,72.27,Cash,0.0 %,72.2699966430664
Tuna - Sushi Grade,14,40.61,Cash,7.0 %,37.767300567626954
Wine - Vovray Sec Domaine Huet,4,41.5,Visa,5.0 %,39.425
Watercress,14,227.82,Visa,7.0 %,211.87260681152344
V8 Splash Strawberry Banana,13,42.39,Cash,7.0 %,39.422699432373044
Syrup - Monin - Blue Curacao,10,121.04,Cash,7.0 %,112.56720085144043
Sprouts - China Rose,10,58.63,Cash,17.5 %,48.36975088119507
Pears - Bosc,15,46.72,Visa,10.0 %,42.04800109863281
Beef - Ox Tongue,3,152.52,Cash,50.0 %,76.26000213623047
Buttons,5,80.87,Visa,0.0 %,80.87000274658203
The Pop Shoppe - Root Beer,15,226.37,Visa,30.0 %,158.45899658203126
Pork - Ground,1,189.55,Cash,15.0 %,161.11750259399415
Wasabi Powder,1,24.63,Visa,5.0 %,23.39849920272827
Milk 2% 500 Ml,14,229.53,Visa,7.0 %,213.46289886474608
Flavouring - Orange,14,183.47,Visa,33.5 %,122.00755081176757
Juice - Orange Concentrate,11,95.39,Visa,14.0 %,82.03539947509765
Bonito Flakes - Toku Katsuo,12,96.35,Visa,7.0 %,89.60549858093262
Bread - Bistro White,15,68.7,Visa,10.0 %,61.82999725341797
Bread - English Muffin,2,11.09,Visa,0.0 %,11.09000015258789
Nantuket Peach Orange,9,88.17,Cash,5.0 %,83.76149826049804
Currants,11,87.0,Cash,7.0 %,80.91
Wine - Red Gallo Merlot,14,171.66,Cash,6.0 %,161.36040344238282
Cheese - Camembert,10,62.27,Visa,8.5 %,56.97705041885376
Container - Hngd Cll Blk 7x7x3,17,247.07,Visa,10.0 %,222.36300659179688
Tomatoes - Vine Ripe Red,9,197.06,Visa,5.0 %,187.20699768066407
Durian Fruit,5,246.05,Visa,0.0 %,246.0500030517578
Veal - Shank Pieces,15,64.0,Cash,30.0 %,44.8
Container - Clear 32 Oz,14,201.77,Visa,6.5 %,188.65495399475097
Soup - Campbells - Chicken Noodle,15,126.29,Visa,10.0 %,113.6610008239746
Rice - Aborio,6,16.2,Cash,5.0 %,15.39000072479248
Wine - Fume Blanc Fetzer,14,93.19,Visa,6.0 %,87.59860229492188
Beef - Salted,1,83.46,Visa,0.0 %,83.45999908447266
Pastry - French Mini Assorted,6,220.44,Cash,4.5 %,210.52020233154298
Liners - Baking Cups,4,1.45,Visa,0.0 %,1.4500000476837158
Cookie - Oatmeal,8,67.93,Visa,11.0 %,60.45770027160644
Pastry - Banana Tea Loaf,7,174.86,Visa,5.0 %,166.11700057983398
Broom And Brush Rack Black,12,236.64,Visa,36.0 %,151.449599609375
Fish - Bones,5,194.87,Cash,0.0 %,194.8699951171875
Pie Shell - 5,7,182.98,Visa,13.0 %,159.192596282959
Wine - White Colubia Cresh,16,142.82,Visa,11.0 %,127.10980651855469
Celery Root,10,6.28,Visa,14.5 %,5.369400179386139
Longos - Greek Salad,8,86.7,Visa,5.0 %,82.36499710083008
Puree - Raspberry,16,13.46,Cash,17.0 %,11.171800031661988
Calvados - Boulard,4,228.68,Visa,28.0 %,164.6495947265625
Scampi Tail,14,187.9,Cash,7.0 %,174.74699432373046
Island Oasis - Ice Cream Mix,10,123.17,Visa,6.0 %,115.7797982788086
Plasticforkblack,17,162.91,Cash,10.0 %,146.61900329589844
Bread - 10 Grain Parisian,3,228.82,Cash,4.0 %,219.66720703125
Kale - Red,4,218.31,Cash,15.0 %,185.5634979248047
Wine - Casillero Deldiablo,7,22.82,Cash,5.0 %,21.67899971008301
Maintenance Removal Charge,16,197.57,Cash,10.0 %,177.81300659179686
Tea - Mint,13,156.99,Cash,7.0 %,146.0007051086426
Cookie - Oreo 100x2,16,145.35,Visa,14.5 %,124.27425521850586
Compound - Pear,12,16.86,Cash,7.0 %,15.679800567626954
The Pop Shoppe Pinapple,15,28.4,Visa,10.0 %,25.559999656677245
Tarragon - Primerba Paste,12,4.44,Visa,7.0 %,4.129200053215027
Straw - Regular,13,167.1,Cash,6.0 %,157.07400573730467
Mussels - Cultivated,9,155.12,Visa,5.0 %,147.36399536132814
Beef - Top Butt Aaa,7,75.8,Visa,5.0 %,72.01000289916992
Beer - Sleemans Honey Brown,9,195.62,Visa,15.0 %,166.27699584960936
Bread - Pumpernickle Rounds,16,30.8,Cash,18.5 %,25.101999378204347
Cheese - Cheddar With Claret,12,171.33,Cash,8.5 %,156.76695167541504
Orange Roughy 6/8 Oz,3,144.86,Cash,0.0 %,144.86000061035156
Quiche Assorted,13,194.39,Cash,7.0 %,180.78269943237305
Cherries - Fresh,9,86.3,Visa,5.0 %,81.98500289916993
Appetizer - Cheese Bites,6,127.16,Visa,7.5 %,117.62300338745118
Wine - Barossa Valley Estate,16,166.47,Visa,7.5 %,153.9847511291504
External Supplier,10,177.68,Visa,7.0 %,165.24239318847657
The Pop Shoppe Pinapple,1,62.58,Visa,10.0 %,56.32200164794922
Wine - Red Gallo Merlot,15,210.55,Visa,7.5 %,194.75875282287598
Beef - Top Butt Aaa,3,103.91,Cash,0.0 %,103.91000366210938
Yoghurt Tubes,3,172.6,Cash,14.0 %,148.43600524902342
Fudge - Chocolate Fudge,4,9.43,Visa,0.0 %,9.430000305175781
Pickles - Gherkins,3,187.3,Cash,0.0 %,187.3000030517578
Chef Hat 25cm,10,126.81,Visa,14.5 %,108.42254791259765
Wheat - Soft Kernal Of Wheat,4,132.78,Cash,0.0 %,132.77999877929688
Soup - Campbells Chili Veg,14,88.34,Cash,7.0 %,82.15619659423828
Bread - Granary Small Pull,13,149.45,Visa,7.0 %,138.98849716186524
Bananas,13,103.36,Visa,7.0 %,96.12480056762695
Glaze - Apricot,16,29.3,Cash,10.0 %,26.36999931335449
Wine - Taylors Reserve,16,51.5,Visa,7.5 %,47.6375
Cheese - Havarti Salsa,7,37.1,Cash,7.5 %,34.31749858856201
Nori Sea Weed - Gold Label,15,217.08,Visa,10.0 %,195.37200164794922
Wine La Vielle Ferme Cote Du,16,179.99,Cash,30.0 %,125.99300384521484
Coffee - Frthy Coffee Crisp,11,155.69,Visa,7.0 %,144.7917022705078
Marjoram - Dried Rubbed,2,25.33,Visa,0.0 %,25.329999923706055
The Pop Shoppe Pinapple,16,148.54,Cash,15.0 %,126.2589942932129
Crawfish,11,173.66,Cash,12.0 %,152.82080322265625
Pork - Bacon Double Smoked,2,108.18,Visa,0.0 %,108.18000030517578
Beer - Upper Canada Light,3,137.12,Visa,0.0 %,137.1199951171875
Napkin - Beverge White 2 - Ply,12,133.32,Visa,7.0 %,123.98760681152343
Wine - Vineland Estate Semi - Dry,13,154.59,Visa,6.0 %,145.3145965576172
Scrubbie - Scotchbrite Hand Pad,9,130.41,Cash,5.0 %,123.8895034790039
Kellogs Raisan Bran Bars,1,49.13,Visa,0.0 %,49.130001068115234
Wine - Rubyport,10,236.91,Visa,11.0 %,210.84990325927734
Pumpkin,7,154.67,Visa,13.0 %,134.5628984069824
Brandy Cherry - Mcguinness,10,118.87,Visa,7.0 %,110.5491025543213
Wine - Soave Folonari,1,123.96,Cash,12.0 %,109.08479919433594
Tomatoes - Cherry,6,22.32,Cash,5.0 %,21.203999710083007
Mousse - Banana Chocolate,9,194.32,Visa,5.0 %,184.6040069580078
Cheese - Brick With Pepper,1,122.85,Cash,11.0 %,109.33649864196778
Flour - Chickpea,4,11.43,Visa,0.0 %,11.430000305175781
Tart Shells - Savory 2,8,107.87,Cash,5.0 %,102.47650260925293
Clams - Bay,8,225.63,Visa,14.0 %,194.04180419921875
Honey - Comb,13,122.33,Cash,7.0 %,113.76690170288086
Thyme - Dried,11,189.65,Cash,7.0 %,176.37449432373046
V8 Splash Strawberry Kiwi,12,222.58,Cash,7.0 %,206.99940170288085
Jameson Irish Whiskey,17,100.98,Visa,10.0 %,90.88200302124024
Lemonade - Pineapple Passion,7,59.74,Cash,5.0 %,56.753001594543456
Coconut - Creamed Pure,14,179.51,Visa,5.5 %,169.63694480895995
Pepper - Chillies Crushed,14,177.57,Visa,7.0 %,165.14010681152342
Petit Baguette,2,184.09,Visa,0.0 %,184.08999633789062
Juice - Apple 500 Ml,1,148.21,Cash,26.5 %,108.93435493469238
Onions - Spanish,15,147.93,Cash,10.0 %,133.13699340820312
Wine - Carmenere Casillero Del,3,64.07,Visa,4.0 %,61.50719970703125
Chips Potato All Dressed - 43g,16,34.82,Cash,5.5 %,32.904899711608884
Pastrami,1,153.31,Cash,0.0 %,153.30999755859375
Sobe - Green Tea,6,43.28,Visa,5.0 %,41.11599884033203
Cheese - La Sauvagine,15,212.0,Cash,10.0 %,190.8
Jicama,10,236.23,Cash,7.0 %,219.69389602661133
Wine - Sicilia Igt Nero Avola,4,199.37,Visa,3.5 %,192.39204528808594
Ginger - Crystalized,6,112.72,Cash,5.0 %,107.08400115966796
Blue Curacao - Marie Brizard,13,83.43,Visa,7.0 %,77.58990028381348
Pail - 15l White With Handle,11,232.62,Visa,7.0 %,216.33659545898436
Pork - Kidney,17,190.32,Cash,10.0 %,171.2880065917969
Table Cloth - 53x69 Colour,3,3.83,Visa,0.0 %,3.8299999237060547
Ostrich - Prime Cut,13,39.62,Visa,7.0 %,36.84659900665283
Potatoes - Peeled,3,110.03,Cash,0.0 %,110.02999877929688
Fish - Artic Char Cold Smoked,1,135.58,Visa,0.0 %,135.5800018310547
Oil - Canola,12,171.54,Visa,7.0 %,159.5321937561035
Bread - English Muffin,7,247.0,Visa,5.0 %,234.65
Table Cloth 120 Round White,17,114.51,Visa,10.0 %,103.05900192260742
Pork Ham Prager,11,38.62,Visa,7.0 %,35.91659900665283
Dc - Frozen Momji,12,228.91,Visa,7.0 %,212.8863034057617
Yeast Dry - Fermipan,3,173.94,Cash,0.0 %,173.94000244140625
Veal Inside - Provimi,11,4.73,Cash,7.0 %,4.398900017738343
Pepper - Chillies Crushed,1,70.85,Visa,0.0 %,70.8499984741211
Chef Hat 20cm,2,25.15,Visa,0.0 %,25.149999618530273
Oil - Olive Extra Virgin,16,24.09,Visa,10.0 %,21.6810001373291
Basil - Thai,4,237.09,Visa,0.0 %,237.08999633789062
Fennel - Seeds,6,216.99,Cash,5.0 %,206.14050521850587
Gingerale - Schweppes 355 Ml,3,11.12,Visa,15.0 %,9.45199990272522
Duck - Whole,17,161.92,Cash,10.0 %,145.72799835205078
Truffle - Whole Black Peeled,7,200.92,Visa,12.5 %,175.80499839782715
Lobak,1,123.8,Cash,0.0 %,123.80000305175781
Pasta - Linguini Dry,8,95.68,Cash,5.0 %,90.896000289917
Plate Foam Laminated 9in Blk,10,214.18,Cash,11.5 %,189.5492935180664
Pasta - Penne Lisce Dry,5,83.36,Cash,0.0 %,83.36000061035156
Chocolate - Milk Callets,3,54.68,Cash,3.0 %,53.03960029602051
Bagel - Ched Chs Presliced,4,143.13,Cash,0.0 %,143.1300048828125
Horseradish Root,14,140.21,Visa,15.5 %,118.47745567321778
Bamboo Shoots - Sliced,17,4.37,Visa,6.5 %,4.085949892997742
Sauce - Oyster,1,171.96,Visa,0.0 %,171.9600067138672
Cotton Wet Mop 16 Oz,4,206.75,Cash,0.0 %,206.75
Cheese - Marble,11,95.2,Cash,8.5 %,87.1079972076416
Wine - Cotes Du Rhone Parallele,7,249.5,Visa,6.0 %,234.53
Mop Head - Cotton 24 Oz,15,103.03,Visa,10.0 %,92.72699890136718
Eggwhite Frozen,14,239.98,Visa,7.0 %,223.18139602661134
Truffle Cups - Brown,5,151.69,Visa,0.0 %,151.69000244140625
Muskox - French Rack,10,61.34,Visa,7.0 %,57.04620014190674
Sprite Diet - 355ml,17,4.52,Cash,17.5 %,3.728999984264374
Burger Veggie,10,119.32,Visa,7.0 %,110.96759971618653
Food Colouring - Orange,12,110.22,Visa,7.0 %,102.5046011352539
Truffle Cups - White Paper,11,191.82,Visa,7.0 %,178.39260681152342
Ostrich - Prime Cut,7,249.79,Visa,5.0 %,237.30049362182618
Sole - Iqf,17,235.06,Visa,10.0 %,211.5539978027344
Muffin Batt - Carrot Spice,3,43.01,Cash,0.0 %,43.0099983215332
Pork - Chop Frenched,11,56.66,Cash,7.0 %,52.693799858093264
Bread - Roll Whole Wheat,9,163.09,Visa,5.5 %,154.12004653930663
Island Oasis - Peach Daiquiri,15,199.42,Visa,10.0 %,179.47799835205078
Cheese - Gouda,1,214.08,Visa,10.0 %,192.67200164794923
Food Colouring - Green,3,244.82,Visa,0.0 %,244.82000732421875
Bread - White Sliced,11,3.7,Visa,7.0 %,3.4410000443458557
Parsley - Fresh,12,174.57,Visa,7.0 %,162.35010681152343
Pop - Club Soda Can,2,199.86,Cash,0.0 %,199.86000061035156
Muffin Hinge 117n,3,23.57,Visa,0.0 %,23.56999969482422
Hipnotiq Liquor,1,132.92,Visa,0.0 %,132.9199981689453
Jameson - Irish Whiskey,10,94.05,Visa,5.0 %,89.34750289916992
Peas Snow,12,201.55,Cash,7.0 %,187.44150283813477
Soup - Knorr Ministrone,7,166.86,Visa,5.0 %,158.517000579834
Soup Campbells Split Pea And Ham,6,88.86,Visa,5.0 %,84.41700057983398
Beef - Ox Tongue,9,41.68,Visa,5.0 %,39.596000289916994
Water - Aquafina Vitamin,3,173.65,Cash,9.0 %,158.02149444580078
Sesame Seed,5,227.34,Visa,0.0 %,227.33999633789062
Wine - Soave Folonari,11,158.85,Visa,6.0 %,149.31900573730468
Pork - Ham Hocks - Smoked,6,142.45,Visa,5.0 %,135.32749710083007
Cheese - Woolwich Goat Log,15,213.3,Cash,10.0 %,191.97000274658203
Bread - Roll Calabrese,11,21.13,Visa,7.0 %,19.65089921951294
Pork - Smoked Back Bacon,10,221.82,Visa,7.0 %,206.29260681152343
Compound - Raspberry,17,105.46,Visa,10.0 %,94.91399917602538
Mousse - Banana Chocolate,5,117.79,Visa,0.0 %,117.79000091552734
Flour - Chickpea,6,175.29,Visa,9.0 %,159.51389389038087
Wine - Baron De Rothschild,16,230.14,Cash,7.5 %,212.8794994354248
Tart Shells - Savory 3,10,91.41,Visa,7.0 %,85.01130340576172
Gelatine Leaves - Envelopes,4,154.74,Cash,0.0 %,154.74000549316406
Soup - Campbells Beef Barley,7,11.2,Visa,6.5 %,10.471999821662903
Sugar - Sweet N Low Individual,1,176.87,Cash,26.0 %,130.88379638671876
Flour - Fast / Rapid,3,196.76,Cash,0.0 %,196.75999450683594
Flower - Leather Leaf Fern,8,108.89,Cash,5.0 %,103.44549942016602
Potatoes - Mini Red,17,19.03,Cash,10.0 %,17.127000617980958
Cheese - Brick With Pepper,7,179.52,Visa,7.5 %,166.05600395202637
Tea - Decaf 1 Cup,5,44.48,Cash,14.0 %,38.252799606323244
Wine - Prosecco Valdobienne,12,175.86,Visa,7.0 %,163.54980056762696
Wonton Wrappers,17,245.21,Visa,10.0 %,220.68900604248046
Oranges,16,168.9,Visa,30.0 %,118.22999572753906
Vodka - Smirnoff,6,22.11,Cash,8.5 %,20.23065055847168
Doilies - 7 Paper,14,114.09,Visa,7.0 %,106.10369659423829
Sauce - Vodka Blush,17,11.78,Visa,10.0 %,10.601999759674072
Fruit Salad Deluxe,12,121.28,Cash,7.0 %,112.7903988647461
Tray - 16in Rnd Blk,6,167.8,Visa,5.0 %,159.4100028991699
Shallots,6,193.62,Visa,5.0 %,183.93899536132812
Lobak,2,62.86,Visa,14.0 %,54.05960052490234
The Pop Shoppe - Black Cherry,7,56.81,Cash,5.0 %,53.96950130462646
Cheese - Le Cru Du Clocher,6,66.27,Cash,15.0 %,56.32949714660644
Bread - Sticks Thin Plain,10,187.56,Visa,4.5 %,179.11979766845704
Assorted Desserts,7,15.94,Visa,13.0 %,13.867799634933473
